"","playerID","name","IP","ER","ERA","K","ebWAR","efWAR"
"1731","poholto01","Tom Poholsky",778,342,3.96,436,5.46,8.17
"1732","towerjo01","Josh Towers",864,387,4.03,457,5.46,8.45
"1733","kellnal01","Alex Kellner",1907,933,4.4,1038,5.45,15.47
"1734","robleha01","Hansel Robles",689,273,3.57,501,5.45,5.6
"1735","skubata01","Tarik Skubal",499,206,3.72,340,5.45,5.94
"1736","accarje01","Jeremy Accardo",390,145,3.35,304,5.44,4.72
"1737","penafe01","Félix Peña",440,174,3.56,309,5.44,5.44
"1738","peralwa01","Wandy Peralta",535,202,3.4,315,5.44,4.02
"1739","busketo01","Tom Buskey",461,178,3.48,309,5.43,-0.36
"1740","ramosce01","Cesár Ramos",501,193,3.47,342,5.43,3.55
"1741","mcgeebi01","Bill McGee",738,302,3.68,451,5.42,5.92
"1742","karnsna01","Nate Karns",414,166,3.61,353,5.41,4.78
"1743","kruegbi01","Bill Krueger",1254,584,4.19,693,5.41,11.48
"1744","wrighky01","Kyle Wright",449,177,3.55,306,5.41,4.59
"1745","davieky01","Kyle Davies",938,427,4.1,600,5.4,10.6
"1746","gantjo01","John Gant",561,211,3.39,356,5.4,6.03
"1747","wittgni01","Nick Wittgren",534,209,3.52,349,5.4,4.62
"1748","helslry01","Ryan Helsley",294,98,3,245,5.4,3.69
"1749","russoma01","Marius Russo",658,263,3.6,430,5.4,6.42
"1750","boutoji01","Jim Bouton",906,385,3.82,409,5.39,4.35
"1751","gombeau01","Austin Gomber",561,223,3.58,327,5.39,6.53
"1752","nunovi01","Vidal Nuno III",435,176,3.64,321,5.39,3.59
"1753","irvinco01","Cole Irvin",560,237,3.81,275,5.38,6.01
"1754","lambra01","Ray Lamb",418,163,3.51,276,5.38,4.41
"1755","boggsmi01","Mitchell Boggs",444,167,3.39,312,5.37,4.46
"1756","downske01","Kelly Downs",740,299,3.64,457,5.37,9.8
"1757","hoffebi01","Bill Hoffer",546,226,3.73,208,5.37,-0.91
"1758","hallabi01","Bill Hallahan",1432,620,3.9,1057,5.33,16.2
"1759","rogertr01","Trevor Rogers",459,189,3.71,346,5.33,7.72
"1760","harriro01","Roric Harrison",554,232,3.77,351,5.32,6.62
"1761","lucchjo01","Joey Lucchesi",465,188,3.64,336,5.32,5.83
"1762","thompbr01","Brad Thompson",529,199,3.39,299,5.32,4.82
"1763","buffich01","Charlie Buffinton",1229,608,4.45,691,5.32,8.77
"1764","limajo01","Jose Lima",1666,801,4.33,862,5.3,8.2
"1765","moseldu01","Dustin Moseley",461,180,3.51,295,5.3,5.47
"1766","thatcjo01","Joe Thatcher",369,130,3.17,380,5.3,5.27
"1767","cisnejo01","José Cisnero",401,144,3.23,288,5.29,4.79
"1768","hedlumi01","Mike Hedlund",429,170,3.57,208,5.29,4.24
"1769","antonte01","Tejay Antone",208,62,2.68,162,5.28,3.07
"1770","durbich01","Chad Durbin",1054,445,3.8,627,5.28,4.72
"1771","liddldo01","Don Liddle",345,141,3.68,188,5.28,2.67
"1772","chiriyo01","Yonny Chirinos",351,124,3.18,228,5.27,4.37
"1773","mclaujo01","Joey McLaughlin",406,149,3.3,282,5.27,3.34
"1774","moskapa01","Paul Moskau",575,239,3.74,400,5.27,5.26
"1775","pinaho01","Horacio Pina",450,175,3.5,308,5.27,0.34
"1776","ligteke01","Kerry Ligtenberg",491,178,3.26,370,5.26,3.49
"1777","staffbi01","Bill Stafford",776,325,3.77,376,5.25,4.39
"1778","scottta01","Tanner Scott",404,164,3.65,375,5.23,4.48
"1779","fannicl01","Cliff Fannin",599,266,4,411,5.23,5.35
"1780","freemhe01","Hersh Freeman",363,144,3.57,214,5.23,3.54
"1781","hughedi01","Dick Hughes",315,116,3.31,231,5.23,4.06
"1782","mcmicgr01","Greg McMichael",612,202,2.97,476,5.22,8.03
"1783","cingrto01","Tony Cingrani",476,185,3.5,414,5.22,4.72
"1784","estessh01","Shawn Estes",1837,872,4.27,1138,5.21,17.2
"1785","mckaiar01","Archie McKain",376,168,4.02,208,5.21,3.88
"1786","proctsc01","Scott Proctor",393,149,3.41,304,5.21,3.27
"1787","aardsda01","David Aardsma",358,126,3.17,318,5.2,4.78
"1788","abbotpa01","Paul Abbott",654,284,3.91,445,5.2,2.08
"1789","diamosc01","Scott Diamond",399,156,3.52,206,5.2,4.94
"1790","kikucyu01","Yusei Kikuchi",733,338,4.15,469,5.2,6.85
"1791","hennebr01","Brad Hennessey",462,187,3.64,262,5.19,4.02
"1792","reedho01","Howie Reed",550,234,3.83,363,5.19,1.74
"1793","turneji01","Jim Turner",961,367,3.44,399,5.19,6.67
"1794","haleda02","David Hale",458,183,3.6,289,5.19,4.42
"1795","ramirno01","Noé Ramirez",471,186,3.55,323,5.19,3.18
"1796","bedroca01","Cam Bedrosian",507,184,3.27,386,5.18,5.65
"1797","delocik01","Ike Delock",1067,469,3.96,592,5.18,5.41
"1798","kochbi01","Billy Koch",456,174,3.43,316,5.17,3.73
"1799","pintore01","Renyel Pinto",317,109,3.09,269,5.17,2.88
"1800","clarkbr01","Bryan Clark",444,174,3.53,285,5.16,4.77
"1801","crowaa01","Aaron Crow",337,118,3.15,246,5.16,2.38
"1802","waldejo01","Jordan Walden",319,108,3.05,342,5.16,5.59
"1803","freemsa01","Sam Freeman",354,123,3.13,300,5.15,3.29
"1804","hilgeto01","Tom Hilgendorf",325,110,3.05,242,5.15,1.92
"1805","phillev01","Evan Phillips",232,79,3.06,204,5.13,4.04
"1806","walkety01","Tyler Walker",388,145,3.36,312,5.13,3.2
"1807","bergmja01","Jason Bergmann",480,200,3.75,339,5.12,4.97
"1808","freisda01","Dave Freisleben",716,320,4.02,429,5.12,6.2
"1809","odombl01","Blue Moon Odom",1383,588,3.83,754,5.12,9.25
"1810","andrena01","Nate Andrews",658,302,4.13,271,5.11,2.37
"1811","agostju01","Juan Agosto",508,195,3.45,339,5.1,1.27
"1812","dedunsa01","Sam Deduno",403,165,3.68,257,5.1,3.91
"1813","estevca01","Carlos Estévez",525,202,3.46,361,5.1,5.17
"1814","guantce01","Cecilio Guante",409,144,3.17,366,5.1,3.68
"1815","breweto01","Tom Brewer",1092,467,3.85,577,5.09,16.78
"1816","evelada01","Dana Eveland",537,223,3.74,380,5.08,6.61
"1817","fitzsfr01","Freddie Fitzsimmons",2580,1029,3.59,1069,5.08,11.85
"1818","flemida01","Dave Fleming",612,280,4.12,280,5.08,5.69
"1819","gearyge01","Geoff Geary",475,166,3.15,317,5.08,4.57
"1820","mathegr01","Greg Mathews",428,163,3.43,210,5.08,4.01
"1821","lopezjo02","Jorge López",712,331,4.18,421,5.07,6.5
"1822","puleoch01","Charlie Puleo",605,255,3.79,444,5.07,3.91
"1823","oberhbr01","Brett Oberholtzer",431,182,3.8,232,5.07,4.12
"1824","ramsdwi01","Willie Ramsdell",489,199,3.66,323,5.06,3.3
"1825","riversa01","Saul Rivera",364,131,3.24,238,5.06,4.55
"1826","dorisha01","Fritz Dorish",770,315,3.68,405,5.05,3.36
"1827","bonsebo01","Boof Bonser",503,209,3.74,361,5.04,5.92
"1828","willich01","Charlie Williams",550,231,3.78,342,5.04,3.01
"1829","alvarjo03","José Alvarado",400,147,3.31,377,5.03,5.9
"1830","owchibo01","Bob Owchinko",769,345,4.04,485,5.03,6.08
"1831","stratch01","Chris Stratton",732,307,3.77,475,5.03,7.74
"1832","vangiel01","Elam Vangilder",821,361,3.96,359,5.03,1.5
